%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
12.0, -187500.02235174447, 3816.940345399421, -16836.071531304304, -37212.12294246232, -15776.397678422652, -39256.74876651153, -187500.02235174447, -47460.129554287145, 11736.476330337087, -12013.61560983844, -54471.64827247242, -52193.08909095396, -42848.830562690564, -39145.72765180202, -31566.20640351849, -42123.2929376713, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69567523296757E9, 0.0, 2023-09-25 15:53:52.967
14.0, -187500.02235174447, 3813.207604075385, -16837.837319116275, -37209.954823250155, -15784.60076863775, -39254.468888577096, -187500.02235174447, -47457.67086239706, 11798.949456089671, -12020.455243641763, -54474.3081300626, -52193.6702363098, -42844.583731244056, -39150.13094545972, -31568.978019830945, -42084.82558546372, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675232967577E9, 0.0, 2023-09-25 15:53:52.967
16.0, -187500.02235174447, 3832.430104306949, -16831.824699857796, -37198.711895789136, -15781.27035871391, -39250.98201644207, -187500.02235174447, -47448.05961228128, 11777.581188390397, -12013.928534260815, -54471.603568983504, -52197.246515422645, -42851.26690283619, -39145.03474772391, -31569.96149658698, -42082.143376129075, -0.025, 0.501, 0.114, 192.0, 127.0, 56.0, 15.5, 40.0, 3.5, 16.0, 0.0, 0.0, 0.0, 1.695675232967581E9, 0.0, 2023-09-25 15:53:52.967
18.0, -187500.02235174447, 3822.371819302061, -16845.66042967563, -37209.194863938676, -15795.575475165306, -39248.54567629644, -187500.02235174447, -47448.886626826126, 11849.978488681138, -12015.068473228035, -54470.19540908282, -52193.334960142965, -42840.09103060854, -39143.91716050114, -31568.396874475107, -42039.56330294172, -0.025, 0.501, 0.114, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675232967584E9, 0.0, 2023-09-25 15:53:52.967
20.0, -187500.02235174447, 3810.748912185301, -16853.5282437239, -37212.12294246232, -15799.88936184518, -39259.54273456845, -187500.02235174447, -47456.06153679628, 11888.915227522282, -12022.109272731457, -54481.59479875503, -52202.923858514296, -42860.319359340596, -39152.522582116435, -31580.913851370082, -42004.78398856926, -0.025, 0.501, 0.114, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675232967587E9, 0.0, 2023-09-25 15:53:52.967
22.0, -187500.02235174447, 3820.0248861342534, -16841.61476392922, -37197.48254984409, -15779.973957535502, -39245.32702509487, -187500.02235174447, -47444.86331282417, 11969.627376750395, -12027.160766978355, -54479.806659198606, -52197.31357065601, -42851.73628946976, -39152.097898971784, -31574.834176878237, -41971.144613164026, -0.025, 0.501, 0.114, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69567523296759E9, 0.0, 2023-09-25 15:53:52.967
24.0, -187500.02235174447, 3826.8645199375774, -16839.424292972602, -37193.459235842136, -15774.386021421675, -39240.879027948264, -187500.02235174447, -47439.923577299545, 11990.392147349376, -12008.56411559154, -54465.523894491664, -52183.00845420462, -42845.29898706663, -39129.388526605195, -31561.445481949508, -41978.78890976774, -0.025, 0.501, 0.114, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695675232967593E9, 0.0, 2023-09-25 15:53:52.967
26.0, -187500.02235174447, 3822.617688491069, -16854.779941413395, -37210.84889302837, -15789.026414039901, -39248.88095246327, -187500.02235174447, -47464.06346131128, 12036.772017094137, -12015.269638928134, -54471.51416200569, -52190.58569557497, -42839.17460908587, -39145.325320401826, -31570.877918109647, -41972.23984864233, -0.0285, 0.7525, 0.17200000000000001, 192.0, 127.5, 0.0, 15.5, 48.0, 3.5, 24.0, 0.0, 0.0, 0.0, 1.695675232967597E9, 0.0, 2023-09-25 15:53:52.967
28.0, -187500.02235174447, 3820.203700089896, -16855.070514091316, -37212.83819828489, -15791.306291974342, -39267.63406606127, -187500.02235174447, -47464.06346131128, 12079.10622109249, -12012.207449937756, -54474.196371340324, -52193.826698520985, -42852.80917320361, -39139.536218587906, -31580.802092647806, -41976.665494044486, -0.0285, 0.7525, 0.17200000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6956752329676E9, 0.0, 2023-09-25 15:53:52.967
0.0, -93750.01117587223, 1837.9615948154444, -8354.880911693683, -18570.835121969598, -7935.562185712121, -19618.707253778848, -93750.01117587223, -23680.39920096388, 6027.259651095826, -6009.244145064848, -27238.193421148473, -26100.333166162156, -21424.43763308974, -19574.96488987981, -15792.423879197107, -21003.26371231839, -0.024, 1.01, 0.186, 192.0, 127.5, 32.0, 15.5, 72.0, 2.5, 104.0, 0.0, 0.0, 0.0, 1.69567523311174E9, 0.0, 2023-09-25 15:53:53.111
